,0%,1%,5%,10%
0,70817.0,48836.2619,35416.90963,13722.067969999998
2,56457.0,41255.867739999994,34030.53055,14549.18591
3,84293.0,70637.3258,51737.79568,24447.40255
4,37792.0,27637.72522,20032.7019,12014.13218
6,87872.0,68161.90034,47255.06422,34808.69365
7,100769.0,83670.55456,73493.95396,65333.948529999994
8,50630.0,43152.250589999996,36628.80165,28670.167419999998
9,88152.0,66526.04996,51312.681730000004,39850.90505
10,44878.0,35399.39127,28197.90367,27808.87681
11,60668.0,41682.99422,33543.553,31630.63593
12,94887.0,68349.04338999999,58338.9588,53128.72839
13,163911.0,106824.9195,86053.85053,84307.44828
14,76904.0,55398.744679999996,40009.09207,41809.9053
15,93929.0,63051.06047999999,51392.78716,50168.25987
16,51784.0,44604.6274,34668.9946,30653.57671
17,74193.0,46376.98212,41516.818980000004,39939.47501
18,30878.0,25360.45122,20813.134980000003,21288.17466
19,210635.0,127811.3608,115435.0938,115790.9325
20,141584.0,108294.1759,79554.20716,82327.52599
21,123870.0,84430.86905,71099.51548999999,67740.68041
22,99970.0,62947.581379999996,43449.65985,38435.877810000005
23,102024.0,76775.61767,50372.83092,43365.8076
24,81185.0,73251.45727,61478.13981,53943.2931
25,115609.0,82915.37732999999,53573.875530000005,54649.76062000001
26,43642.0,36039.347089999996,27277.08781,27101.014489999998
27,105334.0,81397.68393,68073.75107,63148.99025
28,112661.0,73007.07047,58963.146629999996,56823.560470000004
29,122636.0,82720.16145,72937.97471000001,64167.89355
30,39195.0,29493.00999,24371.878090000002,17764.2059
31,176643.0,109870.5809,77358.04945,54281.53272999999
32,116704.0,78898.03997,55152.98352,31802.19665
33,41884.0,26384.96766,16379.57715,12029.47501
34,59969.0,43301.23113,34502.438760000005,23427.80185
35,29097.0,23022.9979,17185.39017,11939.510240000001
36,50908.0,34180.39285,25555.21768,20024.48351
37,93076.0,63122.24823,44623.481960000005,29092.0952
38,83086.0,57455.850379999996,48814.34413,30519.67566
39,55536.0,58123.694189999995,32217.45126,26395.94178
40,94990.0,64758.09861,43740.736,31503.7089
41,126897.0,83647.80384,66712.75192000001,41658.56922
42,106603.0,77222.5593,67191.00512,42563.0987
43,85105.0,63566.254270000005,52394.501560000004,38385.664919999996
44,77084.0,54482.1107,35658.01904,30187.712639999998
45,80528.0,59971.640020000006,50153.13583,33555.46352
46,116224.0,78639.70917999999,64079.5834,39781.164919999996
47,92554.0,68335.0994,56475.11964,38324.991
48,108365.0,66026.26795,49141.90395,31475.115439999998
49,68533.0,46289.6487,33219.16567,26965.71864
50,85919.0,59961.3655,45713.23302,30417.15767
52,101169.0,68149.42414,57038.237,54126.01224
53,45768.0,31829.72942,14369.010230000002,18841.6909
55,98295.0,61432.08967,39465.00966,10890.618690000001
56,96337.0,59347.82987,35509.705030000005,14713.77261
57,119336.0,79704.5898,55271.15885,20150.71314
58,160065.0,105581.7026,70627.60727000001,41190.61294
59,94004.0,61768.21325,36390.07161,17405.04423
60,78270.0,45414.8467,25517.14777,19411.46777
61,92908.0,60425.920589999994,33733.109410000005,15531.12694
62,85245.0,62931.435710000005,37931.10969,16374.98251
63,92094.0,56299.232970000005,4980.019608,3460.505247
64,100160.0,59603.22509,10320.9102,3459.1104450000003
65,97200.0,56347.67,8002.611537000001,7186.022989
66,73480.0,46820.98817,12426.651890000001,8432.27911
67,98323.0,63613.22351,9940.211140000001,12906.80585
68,125848.0,72064.7502,8104.92441,8631.038481
69,81366.0,51566.34867,5966.664677000001,8661.026737
70,64076.0,37906.37418,7305.45638,3535.127186
71,241647.0,150222.2908,62791.55157999999,19125.53323
72,68199.0,46666.87037,28485.80733,12258.92004
73,114196.0,75745.23008,37019.018189999995,14752.82709
74,54143.0,38428.90692,18001.51378,5463.441779
75,83194.0,59086.5635,31130.872689999997,17275.32759
76,76137.0,53594.09861,23646.963630000002,6192.226137
77,113153.0,80733.5096,35631.84598,11801.424790000001
78,443449.0,270425.3694,176446.0841,75545.99575
79,73344.0,49039.55062,24379.0162,11345.324340000001
80,71563.0,55486.811989999995,30103.77835,12782.66842
81,93395.0,67478.64475,38092.90679,19927.54473
82,86579.0,68332.16382,32557.70105,13374.76212
83,123568.0,87578.54168,65757.03865,11127.03773
84,52948.0,34327.9056,23614.44558,24837.94728
85,90309.0,59791.102020000006,39645.84172,43762.628939999995
86,44470.0,28380.426239999997,21215.248369999998,25070.87931
87,179353.0,110790.1504,82774.28672999999,74755.14267999999
89,55281.0,43290.22272,36313.138680000004,35568.16367
90,154484.0,91228.9319,43963.60358,33555.46352
91,101478.0,60210.88956,36499.52259,25822.67791
92,102450.0,77155.77491000001,67645.46462,57931.73112999999
93,101038.0,69013.21772,48632.71895,46376.489010000005
94,63720.0,49052.02682,47275.68542,30189.80485
95,40554.0,26797.41625,23868.24496,21470.8938
96,45233.0,32354.463839999997,24618.53936,24110.557719999997
97,106208.0,73568.49961,57192.89599,54823.413539999994
98,105142.0,64328.03655,28571.46462,24916.75362
99,55931.0,39763.12674,29858.70332,25427.948780000002
100,64939.0,55957.972129999995,45295.25718,34146.16242
101,109882.0,67371.49618999999,56852.64621,47752.46177
102,75574.0,55198.39152999999,46318.385910000005,40713.59045
103,83801.0,53790.04837999999,36924.63654,28848.00475
104,64429.0,43856.05522,30097.433360000003,28388.417289999998
105,70161.0,53959.57796,41842.79255,30044.74538
106,59567.0,46799.70523,31996.16993,27829.10145
107,72220.0,49821.88194,37530.58255,32216.453019999997
108,77855.0,44453.44517,37411.614089999995,23928.53598
109,67189.0,50950.61136,42031.55584,32096.5
110,112090.0,75979.34236000001,55884.24297000001,34087.58071
111,64126.0,43779.73021,33576.071039999995,21286.082459999998
112,67666.0,43016.48015,34485.78318,26143.482509999998
113,130690.0,80456.83145,65446.92754,43617.56947
114,115269.0,71855.59032,54306.721229999996,35568.16367
115,41983.0,26249.931109999998,22638.111109999998,16607.21714
116,32072.0,24672.792269999998,19055.57431,15103.61994
117,65289.0,42111.58848,27630.820689999997,24417.41429
118,54152.0,33563.18775,30351.232739999996,18309.57371
119,65666.0,43060.5138,31124.527710000002,15870.06397
120,176711.0,112434.0736,66188.49758,26591.91154
121,92677.0,71697.06916,43603.52572,18940.02449
122,35415.0,31986.7828,19732.108269999997,6743.870565
123,74074.0,54888.68814,27801.342139999997,13706.72514
124,108833.0,72739.19905,54415.37908,33231.171910000005
125,174616.0,115972.9119,59113.04689,28467.223639999997
126,164785.0,110646.3071,64680.770670000005,55141.42854
127,73655.0,54130.575339999996,26039.02273,9774.07921
128,72223.0,33836.93032,25903.39869,25265.45427
129,58280.0,41684.462,35813.47116,21154.97101
130,73589.0,50393.585589999995,35044.93492,25115.51299
